id,name,description,url,image_cover_url,follower_count,section_count,pin_count,category,privacy,modifiedAt,owner_username,owner_full_name,owner_image_medium_url
48343464689107041,**FOOD LOVE**,"Delicious pins from awesome food bloggers! The sweet, the savory and everything in between. Board is closed to accepting new contributors at this time. Pinners please limit pins to 3 per day.",/cookingclassy/food-love/,https://i.pinimg.com/custom_covers/200x150/48343464689107041_1382023233.jpg,1004198,0,279638,food_drink,public,2026-06-25 04:55:56,cookingclassy,Cooking Classy,https://i.pinimg.com/75x75_RS/44/56/45/445645307aba2586b1f208bac2f43b09.jpg
523965806586943357,Antonio Lupi Salone del Mobile 2026,,/antoniolupispa/antonio-lupi-salone-del-mobile-2026/,https://i.pinimg.com/200x150/b7/fb/0d/b7fb0decc4270870def5cdf5addcb998.jpg,12286,0,3,,protected,2026-05-03 10:35:34,antoniolupispa,antoniolupi,https://i.pinimg.com/75x75_RS/83/40/42/834042cd487a04c0bb37c78012411396.jpg
585960670207914929,bathroom ideas,,/eslamrefatalprins/bathroom-ideas/,https://i.pinimg.com/200x150/b4/93/bc/b493bc3a9863c101b64caa32bec3e8b9.jpg,1037,0,17,home_decor,public,2026-05-28 06:31:08,eslamrefatalprins,The Best Of The Best,https://i.pinimg.com/75x75_RS/bb/30/34/bb30344ffdad352fc96b150ae7634545.jpg
645562996525230228,Nishtha,,/nishthagumber/nishtha/,https://i.pinimg.com/200x150/59/3d/3e/593d3e6f32cfba7be4b465652989a80c.jpg,6,0,10554,,public,2026-06-23 07:47:13,nishthagumber,Nishtha Gumber,https://s.pinimg.com/images/user/default_75.png
687080555591454690,test,,/creative2brain/test/,https://i.pinimg.com/200x150/bf/7d/11/bf7d11b002c0a4818f7c6dbd18851a91.jpg,0,0,6,,public,2026-03-13 17:09:00,creative2brain,c2br,https://i.pinimg.com/75x75_RS/2c/5f/2c/2c5f2cc7e1c17e1a7acfd02315e64cc1.jpg
687080555591468846,chicken,,/creative2brain/chicken/,https://i.pinimg.com/200x150/87/90/ba/8790ba148efcf7aad27ddcd037158e70.jpg,0,0,3,food_drink,public,2026-04-10 20:01:44,creative2brain,c2br,https://i.pinimg.com/75x75_RS/2c/5f/2c/2c5f2cc7e1c17e1a7acfd02315e64cc1.jpg
687080555591503509,Quick Saves,,/creative2brain/_quick_saves/,https://i.pinimg.com/200x150/19/95/74/199574eb38d55479e75655b348ec898e.jpg,0,0,1,,public,2026-06-25 05:27:11,creative2brain,c2br,https://i.pinimg.com/75x75_RS/2c/5f/2c/2c5f2cc7e1c17e1a7acfd02315e64cc1.jpg
703824880762551,Hair and Nail ideas,,/svenja0915/hair-and-nail-ideas/,https://i.pinimg.com/200x150/c2/2f/4e/c22f4e40c1985304f31fb6bf1531d65f.jpg,116,0,315,,public,2026-06-16 23:21:24,svenja0915,Svenja R,https://i.pinimg.com/75x75_RS/c0/b6/bb/c0b6bb5d0542c2ced51ee37ba66b063d.jpg
807974058088087903,Products,,/aliexpress/_products/,https://i.pinimg.com/200x150/d9/7d/d6/d97dd68c2d5d48866ad7f627d33deeed.jpg,4071895,0,826367723,products,protected,2026-06-25 05:27:05,aliexpress,AliExpress,https://i.pinimg.com/75x75_RS/5c/2a/98/5c2a98ff5cc06e3a21c92138f97e1649.jpg
807974058088730907,sale,,/aliexpress/sale/,https://i.pinimg.com/200x150/bc/34/42/bc34421c16e66840dd77022442e304c5.jpg,4071902,0,9,,public,2026-06-19 19:00:51,aliexpress,AliExpress,https://i.pinimg.com/75x75_RS/5c/2a/98/5c2a98ff5cc06e3a21c92138f97e1649.jpg
